REGION,TECHNOLOGY,VALUE
RE1,CKGWODrur,0.0
RE1,CKGCHCrur,0.0
RE1,CKGOTHrur,0.0
RE1,WOOD,0.0
RE1,WODCHC,0.0
RE1,LNDFOR,0.0
RE1,FOREST,0.0
RE1,DEMWODPRO,0.0
RE1,LNDWHE,0.0
RE1,LNDWHEHI,0.0
RE1,LNDWHEHR,0.0
RE1,LNDWHELI,0.0
RE1,LNDWHELR,0.0
RE1,IMPWHE,0.0
RE1,LNDMAI,0.0
RE1,LNDMAIHI,0.0
RE1,LNDMAIHR,0.0
RE1,LNDMAILI,0.0
RE1,LNDMAILR,0.0
RE1,IMPMAI,0.0
RE1,MINPRC,0.0
RE1,LNDBLT,0.0
RE1,DEMPUBSURWAT,0.0
RE1,DEMPUBGWTWAT,0.0
RE1,DEMAGRSURWAT,0.0
RE1,DEMAGRGWTWAT,0.0
RE1,LNDGSD,0.0
RE1,LNDMGV,0.0
RE1,LNDSDB,0.0
RE1,LNDBRLHI,0.0
RE1,LNDDBRLHR,0.0
RE1,LNDBRLLR,0.0
RE1,LNDBRL,0.0
RE1,LNDCOF,0.0
RE1,LNDCOFHI,0.0
RE1,LNDCOFHR,0.0
RE1,LNDCOFLI,0.0
RE1,LNDCOFLR,0.0
RE1,LNDTEA,0.0
RE1,LNDTEAHI,0.0
RE1,LNDTEAHR,0.0
RE1,LNDTEALI,0.0
RE1,LNDTEALR,0.0
RE1,IMPSUC,0.0
RE1,LNDSUC,0.0
RE1,LNDSUCHI,0.0
RE1,SUCSUG,0.0
RE1,DEMAGRDSL,0.0
RE1,BRESID,0.0
RE1,BRESPJ,0.0
RE1,CKGICSrur,0.0
RE1,CKGICSurb,0.0
RE1,LNDSUCHR,0.0
RE1,LNDSUCLR,0.0
RE1,CKGICSchurb,0.0
RE1,CKGICSchrur,0.0
RE1,WODCHCimp,0.0
RE1,IMPPHB,0.0
RE1,LNDPHBHI,0.0
RE1,LNDPHBHR,0.0
RE1,LNDPHBLR,0.0
RE1,LNDPHB,0.0
RE1,LNDOTHCRP,0.0
RE1,WATIND,0.0
RE1,WATMUN,0.0
