REGION,EMISSION,YEAR,VALUE
RE1,CO2res,2040,999999.0
RE1,CO2res,2041,999999.0
RE1,CO2res,2042,999999.0
RE1,CO2res,2043,999999.0
RE1,CO2res,2044,999999.0
RE1,CO2res,2045,999999.0
RE1,CO2res,2046,999999.0
RE1,CO2res,2047,999999.0
RE1,CO2res,2048,999999.0
RE1,CO2res,2049,999999.0
RE1,CO2res,2050,999999.0
RE1,CO2tra,2019,999999.0
RE1,CO2tra,2020,999999.0
RE1,CO2tra,2021,999999.0
RE1,CO2tra,2022,999999.0
RE1,CO2tra,2023,999999.0
RE1,CO2tra,2024,999999.0
RE1,CO2tra,2025,999999.0
RE1,CO2tra,2026,999999.0
RE1,CO2tra,2027,999999.0
RE1,CO2tra,2028,999999.0
RE1,CO2tra,2029,999999.0
RE1,CO2tra,2030,999999.0
RE1,CO2tra,2031,999999.0
RE1,CO2tra,2032,999999.0
RE1,CO2tra,2033,999999.0
RE1,CO2tra,2034,999999.0
RE1,CO2tra,2035,999999.0
RE1,CO2tra,2036,999999.0
RE1,CO2tra,2037,999999.0
RE1,CO2tra,2038,999999.0
RE1,CO2tra,2039,999999.0
RE1,CO2tra,2040,999999.0
RE1,CO2tra,2041,999999.0
RE1,CO2tra,2042,999999.0
RE1,CO2tra,2043,999999.0
RE1,CO2tra,2044,999999.0
RE1,CO2tra,2045,999999.0
RE1,CO2tra,2046,999999.0
RE1,CO2tra,2047,999999.0
RE1,CO2tra,2048,999999.0
RE1,CO2tra,2049,999999.0
RE1,CO2tra,2050,999999.0
