REGION,EMISSION,YEAR,VALUE
RE1,CO2com,2046,0.0
RE1,CO2com,2047,0.0
RE1,CO2com,2048,0.0
RE1,CO2com,2049,0.0
RE1,CO2com,2050,0.0
RE1,CO2ind,2019,0.0
RE1,CO2ind,2020,0.0
RE1,CO2ind,2021,0.0
RE1,CO2ind,2022,0.0
RE1,CO2ind,2023,0.0
RE1,CO2ind,2024,0.0
RE1,CO2ind,2025,0.0
RE1,CO2ind,2026,0.0
RE1,CO2ind,2027,0.0
RE1,CO2ind,2028,0.0
RE1,CO2ind,2029,0.0
RE1,CO2ind,2030,0.0
RE1,CO2ind,2031,0.0
RE1,CO2ind,2032,0.0
RE1,CO2ind,2033,0.0
RE1,CO2ind,2034,0.0
RE1,CO2ind,2035,0.0
RE1,CO2ind,2036,0.0
RE1,CO2ind,2037,0.0
RE1,CO2ind,2038,0.0
RE1,CO2ind,2039,0.0
RE1,CO2ind,2040,0.0
RE1,CO2ind,2041,0.0
RE1,CO2ind,2042,0.0
RE1,CO2ind,2043,0.0
RE1,CO2ind,2044,0.0
RE1,CO2ind,2045,0.0
RE1,CO2ind,2046,0.0
RE1,CO2ind,2047,0.0
RE1,CO2ind,2048,0.0
RE1,CO2ind,2049,0.0
RE1,CO2ind,2050,0.0
RE1,CO2res,2019,0.0
RE1,CO2res,2020,0.0
RE1,CO2res,2021,0.0
RE1,CO2res,2022,0.0
RE1,CO2res,2023,0.0
RE1,CO2res,2024,0.0
RE1,CO2res,2025,0.0
RE1,CO2res,2026,0.0
RE1,CO2res,2027,0.0
RE1,CO2res,2028,0.0
RE1,CO2res,2029,0.0
RE1,CO2res,2030,0.0
RE1,CO2res,2031,0.0
RE1,CO2res,2032,0.0
RE1,CO2res,2033,0.0
RE1,CO2res,2034,0.0
RE1,CO2res,2035,0.0
RE1,CO2res,2036,0.0
RE1,CO2res,2037,0.0
RE1,CO2res,2038,0.0
RE1,CO2res,2039,0.0
RE1,CO2res,2040,0.0
RE1,CO2res,2041,0.0
RE1,CO2res,2042,0.0
RE1,CO2res,2043,0.0
RE1,CO2res,2044,0.0
RE1,CO2res,2045,0.0
RE1,CO2res,2046,0.0
RE1,CO2res,2047,0.0
RE1,CO2res,2048,0.0
RE1,CO2res,2049,0.0
RE1,CO2res,2050,0.0
RE1,CO2tra,2019,0.0
RE1,CO2tra,2020,0.0
RE1,CO2tra,2021,0.0
RE1,CO2tra,2022,0.0
RE1,CO2tra,2023,0.0
RE1,CO2tra,2024,0.0
RE1,CO2tra,2025,0.0
RE1,CO2tra,2026,0.0
RE1,CO2tra,2027,0.0
RE1,CO2tra,2028,0.0
RE1,CO2tra,2029,0.0
RE1,CO2tra,2030,0.0
RE1,CO2tra,2031,0.0
RE1,CO2tra,2032,0.0
RE1,CO2tra,2033,0.0
RE1,CO2tra,2034,0.0
RE1,CO2tra,2035,0.0
RE1,CO2tra,2036,0.0
RE1,CO2tra,2037,0.0
RE1,CO2tra,2038,0.0
RE1,CO2tra,2039,0.0
RE1,CO2tra,2040,0.0
RE1,CO2tra,2041,0.0
RE1,CO2tra,2042,0.0
RE1,CO2tra,2043,0.0
RE1,CO2tra,2044,0.0
RE1,CO2tra,2045,0.0
RE1,CO2tra,2046,0.0
RE1,CO2tra,2047,0.0
RE1,CO2tra,2048,0.0
RE1,CO2tra,2049,0.0
RE1,CO2tra,2050,0.0
